Timestamp,IP Address,Country,Jobs Placed,Job Requested,Demo Request,Response Code,Page Accessed,User  Agent,Session ID,Sales Revenue,Payment Method,Satisfaction Rating
2025-01-24 07:36:12,164.66.215.160,Jamaica,7,AI Solutions Architect,,200,/event.php,Mozilla/5.0 (Windows 98; byn-ER; rv:1.9.1.20) Gecko/8568-08-09 21:46:34 Firefox/3.8,49ec25bf-323c-46bf-8fa6-34f84747d822,2850.52,Bank Transfer,3
2025-02-20 07:31:42,75.18.199.42,Zimbabwe,2,User  Experience (UX) Designer,AI-Powered Virtual Assistant,404,/index.html,Opera/8.94.(Windows NT 5.0; he-IL) Presto/2.9.176 Version/11.00,24b183ab-a174-4602-b45c-022c2c30f09a,4032.64,PayPal,3
2025-03-12 05:38:35,21.169.44.215,France,8,Product Manager,Scheduled Demo,200,/images/events.jpg,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.0),1b2ca395-f86e-4293-be9f-0db8c02853c5,6859.14,Bank Transfer,1
2025-01-02 13:59:20,101.229.70.114,Canada,4,Marketing Specialist,,200,/scheduledemo.php,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/30.0.831.0 Safari/536.1",14186e28-c3e1-4725-9477-dfebc52d66bd,4415.07,Credit Card,4
2025-02-15 02:23:41,45.47.6.239,Japan,7,Digital Transformation Consultant,Scheduled Demo,404,/event.php,Opera/9.27.(X11; Linux x86_64; tt-RU) Presto/2.9.165 Version/12.00,1a7747da-439d-47c9-af83-abbbe827979d,1667.7,Debit Card,2
2025-03-02 08:11:32,213.71.155.119,Jamaica,5,Product Manager,,304,/prototype.php,Opera/9.39.(X11; Linux i686; fa-IR) Presto/2.9.164 Version/11.00,bf3e70fd-d915-45da-8a4c-0f66e93f446e,9106.5,PayPal,3
2025-03-01 02:40:03,134.251.150.164,Germany,4,Product Manager,,404,/scheduledemo.php,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.0),0f2c2df3-dcd5-4152-b39c-e128337b233e,8946.71,Debit Card,2
2025-01-17 10:44:15,175.113.90.16,UK,8,User  Experience (UX) Designer,Promotional Event,304,/index.html,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/4.1),4f7a5a2f-0dfa-48c4-96a2-f71a90fc3627,6972.1,PayPal,3
2025-01-19 06:22:15,11.81.23.28,Zambia,3,AI Solutions Architect,Scheduled Demo,200,/event.php,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0),71d4acda-bf6e-4c9d-b352-3111d6ad4f6a,8861.68,Debit Card,4
2025-03-27 23:43:04,40.62.233.17,China,10,Digital Transformation Consultant,,304,/event.php,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.0),2f266f50-e00c-497a-a083-34333891dc0a,8577.6,Credit Card,5
2025-02-22 03:39:08,150.219.240.227,UK,2,Technical Support Specialist,Promotional Event,304,/prototype.php,Mozilla/5.0 (Windows NT 6.2; tr-CY; rv:1.9.1.20) Gecko/9980-04-06 13:58:27 Firefox/10.0,813c6298-5a7a-4482-9c79-f486a513ff04,8715.08,Credit Card,2
2025-01-03 00:32:04,223.232.13.33,France,3,User  Experience (UX) Designer,Promotional Event,304,/event.php,"Mozilla/5.0 (Linux; Android 2.3.5) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/35.0.868.0 Safari/532.1",14b199cd-4a4b-48a3-88ba-16fb69366da3,4837.7,Bank Transfer,4
2025-03-11 17:20:40,18.165.135.183,France,2,Digital Transformation Consultant,AI-Powered Virtual Assistant,304,/images/events.jpg,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; rv:1.9.4.20) Gecko/5618-03-02 08:49:33 Firefox/4.0,8de98e78-3281-47e1-9510-c8ac37d056c6,3308.02,Credit Card,4
2025-01-03 06:20:32,110.178.219.228,Japan,2,User  Experience (UX) Designer,AI-Powered Virtual Assistant,304,/images/events.jpg,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_4 rv:5.0; oc-FR) AppleWebKit/533.45.1 (KHTML, like Gecko) Version/5.1 Safari/533.45.1",c9b0f54b-b462-447a-8362-8c1daa49e502,4006.17,Bank Transfer,5
2025-03-08 07:33:57,179.219.24.208,USA,8,Software Engineer,,200,/prototype.php,"Mozilla/5.0 (iPad; CPU iPad OS 17_4_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/11.4d1894.0 Mobile/25Q230 Safari/534.0",38a19325-052f-4b4e-b579-9b40fb1836a8,5286.18,Debit Card,1
2025-01-26 15:39:07,213.185.126.109,Japan,3,Product Manager,,200,/images/events.jpg,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1),59008c34-be85-4c65-892c-6a962ac8811f,4724.46,Credit Card,4
2025-03-25 19:46:21,156.88.113.156,Jamaica,8,Business Analyst,AI-Powered Virtual Assistant,404,/index.html,Mozilla/5.0 (Android 8.0.0; Mobile; rv:11.0) Gecko/11.0 Firefox/11.0,be18608c-c73e-4c96-af8e-bac9f8659214,1247.81,PayPal,3
2025-02-22 06:25:59,45.132.49.160,France,7,Product Manager,Promotional Event,304,/event.php,"Mozilla/5.0 (Linux; Android 4.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/48.0.836.0 Safari/532.1",3e064cf5-ab36-4aa0-bf4a-f260414889ef,4822.38,Bank Transfer,4
2025-02-09 18:28:31,162.53.121.44,Jamaica,1,Marketing Specialist,,304,/prototype.php,Mozilla/5.0 (Windows NT 11.0; tl-PH; rv:1.9.1.20) Gecko/7762-01-06 21:29:37 Firefox/6.0,fda1ec7d-96af-4553-8a87-0cf3082c0026,4839.42,Credit Card,3
2025-03-11 17:44:31,142.30.170.3,India,5,Business Analyst,Promotional Event,304,/prototype.php,Opera/8.98.(X11; Linux i686; id-ID) Presto/2.9.173 Version/10.00,ebb7efd6-f049-41fb-ad1d-4eaada461b31,7200.67,PayPal,3
2025-02-08 23:51:56,201.61.247.146,Russia,3,User  Experience (UX) Designer,AI-Powered Virtual Assistant,304,/scheduledemo.php,Opera/9.31.(X11; Linux x86_64; ky-KG) Presto/2.9.180 Version/11.00,00344c9a-d1f8-4277-af0e-c25c8d123a9b,2971.15,PayPal,4
2025-02-14 03:34:04,115.33.244.71,Japan,3,User  Experience (UX) Designer,,304,/event.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.1),adccdb3e-362b-4809-8614-04f29f24fe75,6320.76,Credit Card,1
2025-02-03 20:27:58,158.43.56.13,Jamaica,2,User  Experience (UX) Designer,,200,/event.php,Opera/9.65.(X11; Linux i686; ky-KG) Presto/2.9.185 Version/12.00,17bd5c0d-7115-4f85-9306-9da98df8e05e,3307.9,Debit Card,1
2025-01-15 02:53:22,60.127.125.98,China,7,User  Experience (UX) Designer,AI-Powered Virtual Assistant,404,/event.php,Mozilla/5.0 (Android 3.2.6; Mobile; rv:25.0) Gecko/25.0 Firefox/25.0,314eee76-38cf-4945-9ed0-1d0c39ccda0d,9296.07,PayPal,3
2025-01-01 01:22:14,97.200.225.156,Germany,1,Marketing Specialist,Promotional Event,200,/images/events.jpg,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/13.0.872.0 Safari/533.2",3c628469-315c-44e4-a956-0f60ca770756,5136.51,Credit Card,5
2025-03-02 10:23:01,124.215.67.24,India,5,Marketing Specialist,,404,/index.html,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.1),699bd309-cb0c-4808-bfa5-472cc6553bff,1180.84,Credit Card,5
2025-03-03 21:26:45,30.151.40.206,Zimbabwe,3,User  Experience (UX) Designer,Scheduled Demo,304,/scheduledemo.php,Opera/8.36.(X11; Linux x86_64; ga-IE) Presto/2.9.180 Version/10.00,190317b7-62a3-4f85-ab29-62cc1936df18,5508.02,Bank Transfer,4
2025-02-16 09:44:04,65.54.241.255,France,5,User  Experience (UX) Designer,Promotional Event,200,/index.html,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_3 rv:3.0; ast-ES) AppleWebKit/534.47.1 (KHTML, like Gecko) Version/5.0.4 Safari/534.47.1",f8a57d8f-dd9a-4306-9aca-c53d2eb2bbcb,9640.92,Debit Card,1
2025-01-08 05:07:23,161.84.200.96,India,3,Product Manager,Scheduled Demo,304,/images/events.jpg,Mozilla/5.0 (Windows NT 6.1; unm-US; rv:1.9.0.20) Gecko/5671-05-08 08:35:24 Firefox/3.6.3,63c45a43-f917-4d00-88a0-366289f3cced,9916.36,Debit Card,4
2025-02-06 01:27:27,178.49.134.230,Russia,4,Business Analyst,AI-Powered Virtual Assistant,304,/index.html,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.0),ad121ff2-51cd-4873-9d75-5bf79b884706,2343.54,PayPal,1
2025-01-11 04:17:19,5.68.20.93,USA,4,Data Scientist,,200,/event.php,Opera/9.37.(Windows CE; shs-CA) Presto/2.9.183 Version/11.00,3a4d2cc0-3b62-40bf-8789-fd52d580e726,4150.88,Credit Card,1
2025-01-16 04:54:14,138.238.247.48,Zimbabwe,9,AI Research Scientist,Promotional Event,404,/images/events.jpg,"Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/57.0.850.0 Safari/532.1",94a81b20-b5f3-4484-8536-08501e27db69,7623.84,Bank Transfer,5
2025-03-28 15:50:23,198.146.60.133,Brazil,3,Digital Transformation Consultant,,404,/prototype.php,Opera/8.16.(Windows NT 6.0; nr-ZA) Presto/2.9.177 Version/12.00,3c2791e6-6b31-4efc-9c12-e08b3c803928,4244.94,Debit Card,5
2025-01-05 10:00:23,179.244.244.182,France,7,User  Experience (UX) Designer,AI-Powered Virtual Assistant,200,/prototype.php,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0),b2ba4720-6fda-4d9c-92e7-47691cfacf06,6223.1,Bank Transfer,1
2025-02-19 19:50:12,91.234.175.188,USA,1,Marketing Specialist,,304,/images/events.jpg,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/3.1),00ab7ac7-80b3-47fa-91e2-c7b8791ab5ee,1648.68,Credit Card,3
2025-01-31 02:49:49,76.17.55.41,Zambia,6,Product Manager,Promotional Event,200,/index.html,Mozilla/5.0 (Android 7.1; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0,58de3674-53c9-4874-9e88-993dadebaa2c,9395.65,Debit Card,1
2025-02-28 02:23:28,146.22.39.48,France,9,Digital Transformation Consultant,,200,/index.html,Opera/9.57.(X11; Linux i686; crh-UA) Presto/2.9.171 Version/10.00,26f02fd9-cc6c-4107-88eb-2e76bd66ccdc,5086.64,Bank Transfer,1
2025-02-26 14:20:42,161.83.204.217,Spain,8,Business Analyst,Scheduled Demo,304,/index.html,Opera/9.74.(X11; Linux x86_64; sl-SI) Presto/2.9.172 Version/10.00,aff92951-6f0d-40da-85a9-349c47a59ac9,5342.35,Bank Transfer,4
2025-01-19 19:16:00,42.79.73.179,Portugal,2,Product Manager,,200,/prototype.php,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/5.0),7087ad72-4407-4649-96bc-cf5e9bf706fc,8017.98,PayPal,4
2025-02-16 19:36:06,177.130.240.246,Canada,10,AI Research Scientist,,200,/images/events.jpg,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.1),b85fd182-aadb-4638-a9e1-1af3649f8db8,8947.76,PayPal,3
2025-01-25 00:07:23,35.216.63.69,Netherlands,4,AI Research Scientist,Scheduled Demo,304,/prototype.php,Opera/9.10.(Windows CE; zh-TW) Presto/2.9.176 Version/11.00,4d0015ba-eaa8-46eb-aa2f-71d89aadf717,2728.8,Debit Card,3
2025-02-22 18:23:04,15.198.59.227,Portugal,10,Digital Transformation Consultant,Scheduled Demo,404,/index.html,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_1 rv:4.0; id-ID) AppleWebKit/533.34.6 (KHTML, like Gecko) Version/4.0.3 Safari/533.34.6",b31f60fe-4f38-4984-925a-da616d48b25e,8969.6,Bank Transfer,4
2025-01-06 19:59:53,132.195.174.207,Canada,4,AI Solutions Architect,Scheduled Demo,404,/index.html,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/3205-06-11 09:35:02 Firefox/3.8,b55af18f-a1aa-4679-8571-c950ae6e3943,8249.92,Bank Transfer,4
2025-03-23 14:16:58,3.85.137.137,UK,2,AI Solutions Architect,,200,/scheduledemo.php,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/534.40.7 (KHTML, like Gecko) Version/5.0.2 Safari/534.40.7",28933f19-9bca-4fe0-9e67-20b3fa1bc047,4753.56,Debit Card,5
2025-01-28 06:52:16,149.128.147.19,Zambia,5,AI Research Scientist,Scheduled Demo,404,/images/events.jpg,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_2_2 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/17.3o0682.0 Mobile/31A314 Safari/536.1",b6e0a1cb-591c-4475-90f1-8a97316d3f30,9169.36,Bank Transfer,4
2025-02-07 00:50:30,57.21.142.137,Portugal,4,Product Manager,AI-Powered Virtual Assistant,404,/images/events.jpg,Opera/9.48.(Windows NT 10.0; hr-HR) Presto/2.9.188 Version/12.00,db9ba950-f7a4-4911-a574-03065c7980e4,3209.53,Debit Card,3
2025-02-01 13:33:59,27.23.227.241,Zimbabwe,9,Product Manager,,200,/scheduledemo.php,Opera/8.47.(Windows NT 5.2; tt-RU) Presto/2.9.164 Version/12.00,94079327-01b1-4955-8107-492926d615cf,8605.09,Bank Transfer,1
2025-01-22 17:33:51,24.83.180.135,Germany,10,Software Engineer,AI-Powered Virtual Assistant,304,/event.php,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),c31a3f17-2d50-42a5-899a-49e5d94971d5,2502.87,Debit Card,3
2025-01-20 10:04:39,116.77.125.114,Japan,5,Digital Transformation Consultant,,304,/images/events.jpg,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/9876-11-03 23:38:17 Firefox/3.8,5ca4c3d6-b511-4a28-b43e-992d1783a931,7231.01,Bank Transfer,2
2025-02-17 06:53:28,188.81.230.45,Spain,4,Digital Transformation Consultant,Promotional Event,304,/prototype.php,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_8) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/23.0.846.0 Safari/534.2",80c73af8-eb70-4bb3-9083-a9813bf1c866,6611.62,PayPal,5
2025-02-23 19:19:30,19.50.138.129,Zambia,1,Marketing Specialist,,304,/scheduledemo.php,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; br-FR) AppleWebKit/533.21.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6533.21.4",dd6241d1-21cf-4b28-860f-9787957d9fb7,4400.65,Credit Card,3
2025-03-22 01:43:18,87.253.35.238,UK,7,User  Experience (UX) Designer,,304,/scheduledemo.php,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; so-SO) AppleWebKit/533.3.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.3.7",431758e9-c18e-4e35-92bb-a4463854f636,9191.74,Bank Transfer,1
2025-01-12 13:21:22,163.178.183.198,Japan,5,User  Experience (UX) Designer,AI-Powered Virtual Assistant,304,/event.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.0),d45fb9de-495c-46fd-a244-e45257fc20ae,9615.53,Bank Transfer,1
2025-03-31 00:52:28,141.2.122.94,Brazil,3,AI Research Scientist,,200,/scheduledemo.php,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/9.0u5102.0 Mobile/70E689 Safari/535.2",5cda3188-4d3a-4a21-a631-c1976ddd4cd0,3186.16,Bank Transfer,4
2025-02-02 12:56:09,145.89.19.89,Canada,7,Product Manager,,304,/index.html,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/51.0.800.0 Safari/531.2",4f12c68f-f009-4c87-b832-1aa6465e1b1f,8166.03,PayPal,3
2025-02-01 20:00:59,173.113.81.82,Portugal,9,Digital Transformation Consultant,Scheduled Demo,404,/index.html,Opera/8.40.(Windows NT 6.2; km-KH) Presto/2.9.185 Version/10.00,1170563a-de9f-4e85-bee0-c33147172df5,8160.62,Debit Card,1
2025-02-26 14:31:01,194.28.204.240,Russia,10,Marketing Specialist,,304,/scheduledemo.php,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.1),83c959b7-6ecc-40a1-966d-61a41611a415,2806.63,PayPal,5
2025-02-17 15:43:19,93.166.185.63,Zimbabwe,3,AI Research Scientist,,200,/scheduledemo.php,Opera/9.57.(X11; Linux i686; si-LK) Presto/2.9.182 Version/11.00,4c016184-a4b6-4c56-b1f8-208b0424d26d,3298.52,Credit Card,3
2025-01-01 13:05:10,140.178.93.12,Zimbabwe,7,AI Research Scientist,,404,/prototype.php,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/3975-11-04 05:20:59 Firefox/3.6.5,9ca74873-b86d-4f4a-81e5-ccefe78d036f,6235.18,Credit Card,3
2025-02-12 05:09:36,196.238.131.100,Russia,3,User  Experience (UX) Designer,,200,/prototype.php,"Mozilla/5.0 (Linux; Android 5.1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/34.0.867.0 Safari/536.0",88cafc2f-7cfe-44a3-b6eb-dccce0c7c8bc,6075.3,Credit Card,5
2025-03-25 18:08:45,163.129.100.84,India,1,Data Scientist,Scheduled Demo,304,/index.html,Opera/8.49.(X11; Linux x86_64; pap-AW) Presto/2.9.164 Version/12.00,b413bcff-045a-441d-b75c-00059d3c03cf,1944.8,PayPal,2
2025-02-21 19:02:32,87.38.189.198,Brazil,9,AI Solutions Architect,Scheduled Demo,200,/scheduledemo.php,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/40.0.831.0 Safari/533.2",4939b1c3-6bb2-43e9-babf-f70458d6379f,5026.47,Debit Card,3
2025-03-27 12:57:27,65.115.123.15,Spain,2,Digital Transformation Consultant,Scheduled Demo,200,/event.php,Opera/9.80.(X11; Linux x86_64; ff-SN) Presto/2.9.163 Version/11.00,56093532-f926-41e3-852c-57aecc4a2fc1,4583.0,Bank Transfer,2
2025-01-04 08:01:01,221.214.189.249,Germany,2,Product Manager,Promotional Event,304,/scheduledemo.php,Mozilla/5.0 (Windows NT 10.0; el-CY; rv:1.9.0.20) Gecko/3320-03-05 06:00:47 Firefox/3.8,95cba69e-6ca7-4406-b87b-f5013ce34a6a,5631.43,Bank Transfer,2
2025-01-22 20:57:34,201.89.168.130,Portugal,8,Software Engineer,,404,/prototype.php,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/4.0),3c39675a-f63d-492c-9f37-3e5a19b4eccd,5235.58,Bank Transfer,1
2025-03-27 03:57:03,109.163.184.93,USA,8,AI Research Scientist,,200,/scheduledemo.php,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; fur-IT) AppleWebKit/533.24.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6533.24.3",1fe53bdf-3209-4ee0-aa05-1951403159fb,8964.39,Debit Card,2
2025-02-25 11:19:49,158.85.55.56,Canada,3,Data Scientist,,200,/event.php,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.1),f1c1a406-ffc8-4e19-abe3-8ae3324dca63,2469.06,Debit Card,3
